Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
933,52,2/21/2013,28-053,MIA,@,CHI,W (+19),1,34:29:00,11,15,0.733,1,4,0.25,3,3,1,1,11,12,7,2,0,4,2,26,26,6
934,53,2/23/2013,28-055,MIA,@,PHI,W (+24),1,31:30:00,7,12,0.583,1,4,0.25,1,2,0.5,1,9,10,11,2,0,2,1,16,20.7,14
935,54,2/24/2013,28-056,MIA,,CLE,W (+4),1,38:51:00,10,19,0.526,0,1,0,8,11,0.727,2,1,3,8,1,0,2,0,28,23.8,6
936,55,2/26/2013,28-058,MIA,,SAC,W (+12),1,47:45:00,14,23,0.609,1,2,0.5,11,12,0.917,3,5,8,16,2,1,2,1,40,44.2,11
937,56,3/1/2013,28-061,MIA,,MEM,W (+7),1,42:06:00,4,14,0.286,2,4,0.5,8,12,0.667,1,7,8,10,2,1,1,1,18,19.3,-1
938,57,3/3/2013,28-063,MIA,@,NYK,W (+6),1,42:50:00,12,23,0.522,2,6,0.333,3,6,0.5,3,8,11,7,3,1,2,1,29,27.2,9
939,58,3/4/2013,28-064,MIA,@,MIN,W (+16),1,34:53:00,9,16,0.563,1,4,0.25,1,1,1,1,9,10,4,3,2,7,3,20,14.8,10
940,59,3/6/2013,28-066,MIA,,ORL,W (+1),1,38:13:00,7,14,0.5,1,6,0.167,11,12,0.917,0,3,3,2,0,1,2,0,26,19.6,8
941,60,3/8/2013,28-068,MIA,,PHI,W (+9),1,34:14:00,10,17,0.588,2,3,0.667,3,5,0.6,3,7,10,5,1,2,3,2,25,22.6,19
942,61,3/10/2013,28-070,MIA,,IND,W (+14),1,36:21:00,5,10,0.5,0,0,,3,5,0.6,1,5,6,7,1,1,4,1,13,11.6,23
943,62,3/12/2013,28-072,MIA,,ATL,W (+17),1,30:07:00,3,11,0.273,0,2,0,9,12,0.75,3,4,7,7,2,0,4,1,15,13.1,21
944,63,3/13/2013,28-073,MIA,@,PHI,W (+4),1,37:14:00,8,19,0.421,1,4,0.25,10,12,0.833,2,5,7,8,2,1,4,1,27,22.9,7
945,64,3/15/2013,28-075,MIA,@,MIL,W (+13),1,38:14:00,12,24,0.5,0,2,0,4,5,0.8,1,9,10,7,0,1,2,1,28,22.2,5
946,65,3/17/2013,28-077,MIA,@,TOR,W (+17),1,33:50:00,6,12,0.5,2,6,0.333,8,11,0.727,1,11,12,8,2,0,3,1,22,23,10
947,66,3/18/2013,28-078,MIA,@,BOS,W (+2),1,42:15:00,16,29,0.552,1,4,0.25,4,6,0.667,1,6,7,12,2,2,5,3,37,30.4,13
948,67,3/20/2013,28-080,MIA,@,CLE,W (+3),1,42:19:00,8,22,0.364,3,7,0.429,6,8,0.75,7,5,12,10,3,2,4,1,25,25.4,1
949,68,3/22/2013,28-082,MIA,,DET,W (+14),1,39:53:00,12,15,0.8,1,1,1,4,6,0.667,1,7,8,8,2,1,3,1,29,30.2,14
950,69,3/24/2013,28-084,MIA,,CHA,W (+32),1,34:10:00,11,14,0.786,0,1,0,10,11,0.909,0,8,8,10,3,3,4,0,32,36.7,22
951,70,3/25/2013,28-085,MIA,@,ORL,W (+14),1,38:45:00,9,16,0.563,0,0,,6,10,0.6,1,8,9,11,1,0,3,2,24,22.8,25
952,71,3/27/2013,28-087,MIA,@,CHI,L (-4),1,39:56:00,11,17,0.647,2,5,0.4,8,11,0.727,0,7,7,3,2,4,4,1,32,27.9,2
953,72,3/29/2013,28-089,MIA,@,NOH,W (+19),1,32:13:00,13,20,0.65,7,10,0.7,3,5,0.6,0,4,4,6,2,0,3,0,36,30.8,19
954,,3/31/2013,28-091,MIA,@,SAS,W (+2),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
955,,4/2/2013,28-093,MIA,,NYK,L (-12),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
956,,4/5/2013,28-096,MIA,@,CHA,W (+10),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
957,73,4/6/2013,28-097,MIA,,PHI,W (+19),1,29:42:00,12,17,0.706,1,2,0.5,2,2,1,0,4,4,5,1,0,1,1,27,24.2,22
958,74,4/9/2013,28-100,MIA,,MIL,W (+11),1,30:04:00,11,16,0.688,0,1,0,6,6,1,1,6,7,7,2,1,3,0,28,28.3,21
959,,4/10/2013,28-101,MIA,@,WAS,W (+5),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
960,75,4/12/2013,28-103,MIA,,BOS,W (+8),1,28:51:00,8,10,0.8,0,0,,4,4,1,1,5,6,9,0,0,1,1,20,23.3,6
961,76,4/14/2013,28-105,MIA,,CHI,W (+12),1,34:51:00,7,12,0.583,1,1,1,9,12,0.75,0,7,7,6,1,0,3,2,24,20.7,8
962,,4/15/2013,28-106,MIA,@,CLE,W (+1),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
963,,4/17/2013,28-108,MIA,,ORL,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
964,1,12/25/2011,26-360,MIA,@,DAL,W (+11),1,36:16:00,11,19,0.579,0,0,,15,19,0.789,3,7,10,6,2,2,3,3,37,34.1,27
965,2,12/27/2011,26-362,MIA,,BOS,W (+8),1,36:00:00,9,14,0.643,0,0,,8,9,0.889,1,5,6,5,2,1,3,3,26,23.6,-7
966,3,12/28/2011,26-363,MIA,@,CHA,W (+1),1,38:49:00,13,23,0.565,0,0,,9,9,1,0,6,6,7,3,2,2,0,35,33.2,5
967,4,12/30/2011,27-000,MIA,@,MIN,W (+2),1,37:13:00,16,26,0.615,0,1,0,2,4,0.5,1,7,8,10,4,1,4,2,34,31.1,14
968,5,1/1/2012,27-002,MIA,,CHA,W (+39),1,28:02:00,6,10,0.6,0,0,,4,6,0.667,0,9,9,5,1,0,2,2,16,15,24
969,6,1/2/2012,27-003,MIA,,ATL,L (-8),1,38:33:00,11,18,0.611,0,0,,6,9,0.667,2,5,7,6,0,0,4,1,28,21.3,-1
970,7,1/4/2012,27-005,MIA,,IND,W (+35),1,37:41:00,12,21,0.571,0,0,,9,11,0.818,2,6,8,13,2,0,2,2,33,33.8,31
971,,1/5/2012,27-006,MIA,@,ATL,W (+7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
972,8,1/7/2012,27-008,MIA,@,NJN,W (+11),1,37:23:00,11,17,0.647,0,1,0,10,12,0.833,0,7,7,9,2,1,8,2,32,26,7
973,9,1/10/2012,27-011,MIA,@,GSW,L (-5),1,42:33:00,10,19,0.526,0,2,0,6,8,0.75,1,10,11,7,2,0,5,1,26,21.1,-5
974,10,1/11/2012,27-012,MIA,@,LAC,L (-6),1,41:53:00,7,19,0.368,0,1,0,9,17,0.529,2,11,13,7,2,0,6,5,23,12.9,-9
975,11,1/13/2012,27-014,MIA,@,DEN,L (-13),1,37:11:00,13,20,0.65,3,5,0.6,6,11,0.545,1,4,5,6,2,1,4,0,35,29,-16
976,12,1/17/2012,27-018,MIA,,SAS,W (+22),1,34:53:00,12,21,0.571,4,6,0.667,5,9,0.556,1,4,5,10,0,0,4,0,33,26.4,19
977,13,1/19/2012,27-020,MIA,,LAL,W (+11),1,37:13:00,12,27,0.444,2,3,0.667,5,7,0.714,3,5,8,8,4,3,3,4,31,26.8,0
978,14,1/21/2012,27-022,MIA,,PHI,W (+21),1,35:47:00,12,17,0.706,0,0,,4,4,1,0,9,9,5,4,3,4,1,28,28.8,9
979,15,1/22/2012,27-023,MIA,,MIL,L (-9),1,37:22:00,8,18,0.444,0,1,0,12,13,0.923,4,9,13,5,1,0,3,2,28,24.4,-4
980,16,1/24/2012,27-025,MIA,,CLE,W (+7),1,37:48:00,8,21,0.381,1,4,0.25,1,4,0.25,1,4,5,5,2,0,5,1,18,7.3,9
981,17,1/25/2012,27-026,MIA,@,DET,W (+3),1,41:39:00,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,3,32,25.1,6
982,18,1/27/2012,27-028,MIA,,NYK,W (+10),1,40:17:00,11,18,0.611,0,2,0,9,10,0.9,1,7,8,7,0,0,4,2,31,25.3,4
983,19,1/29/2012,27-030,MIA,,CHI,W (+4),1,40:58:00,12,23,0.522,1,1,1,10,15,0.667,1,10,11,5,0,1,6,2,35,22.8,3
984,20,1/30/2012,27-031,MIA,,NOH,W (+14),1,29:44:00,8,12,0.667,1,2,0.5,5,7,0.714,4,7,11,8,1,0,4,1,22,23.1,29
985,21,2/1/2012,27-033,MIA,@,MIL,L (-8),1,40:17:00,14,24,0.583,4,7,0.571,8,10,0.8,0,8,8,5,2,0,7,1,40,28.5,-6
986,22,2/3/2012,27-035,MIA,@,PHI,W (+20),1,37:13:00,8,16,0.5,0,1,0,3,6,0.5,1,11,12,8,0,2,2,2,19,18,19
987,23,2/5/2012,27-037,MIA,,TOR,W (+6),1,38:29:00,10,17,0.588,0,1,0,10,12,0.833,0,9,9,2,1,0,5,1,30,21,11
988,24,2/7/2012,27-039,MIA,,CLE,W (+16),1,38:40:00,9,16,0.563,0,1,0,6,7,0.857,1,4,5,6,2,0,6,1,24,17.7,5
989,25,2/8/2012,27-040,MIA,@,ORL,L (-13),1,39:15:00,5,15,0.333,0,2,0,7,10,0.7,0,6,6,10,3,0,3,0,17,16.1,-1
990,26,2/10/2012,27-042,MIA,@,WAS,W (+17),1,33:17:00,6,14,0.429,0,2,0,6,7,0.857,0,2,2,9,0,2,1,1,18,17.1,14
991,27,2/12/2012,27-044,MIA,@,ATL,W (+20),1,30:26:00,6,15,0.4,1,3,0.333,10,12,0.833,3,10,13,6,1,0,2,1,23,22,26
992,28,2/13/2012,27-045,MIA,@,MIL,W (+18),1,32:54:00,16,21,0.762,0,0,,3,3,1,3,5,8,3,1,0,2,3,35,30.2,14
993,29,2/14/2012,27-046,MIA,@,IND,W (+15),1,33:24:00,7,15,0.467,2,5,0.4,7,8,0.875,2,7,9,7,4,0,2,2,23,24.5,27
994,30,2/17/2012,27-049,MIA,@,CLE,W (+24),1,30:08:00,11,19,0.579,3,5,0.6,3,3,1,2,3,5,5,1,1,2,2,28,23.8,27
995,31,2/19/2012,27-051,MIA,,ORL,W (+12),1,36:38:00,9,14,0.643,1,2,0.5,6,7,0.857,1,10,11,8,2,0,2,2,25,26.9,23
996,32,2/21/2012,27-053,MIA,,SAC,W (+12),1,33:13:00,7,11,0.636,2,2,1,2,2,1,0,4,4,8,0,2,3,1,18,17.9,7
997,33,2/23/2012,27-055,MIA,,NYK,W (+14),1,40:41:00,7,16,0.438,0,0,,6,6,1,1,8,9,8,5,2,4,3,20,21.5,12
998,34,3/1/2012,27-062,MIA,@,POR,W (+14),1,41:02:00,13,22,0.591,2,2,1,10,12,0.833,2,9,11,6,5,1,0,1,38,40.6,8
999,35,3/2/2012,27-063,MIA,@,UTA,L (-1),1,44:24:00,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,2,35,33.1,7
1000,36,3/4/2012,27-065,MIA,@,LAL,L (-10),1,43:02:00,12,26,0.462,0,4,0,1,3,0.333,7,6,13,7,3,2,3,1,25,23.4,-13
1001,37,3/6/2012,27-067,MIA,,NJN,W (+30),1,29:36:00,9,11,0.818,1,1,1,2,2,1,1,8,9,6,0,0,5,0,21,19.2,20
1002,38,3/7/2012,27-068,MIA,,ATL,W (+3),1,41:40:00,12,20,0.6,0,3,0,7,10,0.7,4,7,11,2,1,2,2,1,31,26.9,7
1003,39,3/10/2012,27-071,MIA,,IND,W (+2),1,47:06:00,8,19,0.421,2,3,0.667,9,15,0.6,1,7,8,4,4,1,4,1,27,20.4,3
1004,40,3/13/2012,27-074,MIA,@,ORL,L (-6),1,42:25:00,7,20,0.35,2,4,0.5,3,3,1,3,8,11,8,1,1,6,0,19,13.6,0
1005,41,3/14/2012,27-075,MIA,@,CHI,L (-4),1,39:38:00,14,25,0.56,2,3,0.667,5,5,1,1,4,5,4,4,0,2,2,35,29,5
1006,42,3/16/2012,27-077,MIA,@,PHI,W (+6),1,38:15:00,12,20,0.6,0,2,0,5,8,0.625,2,5,7,8,2,2,1,0,29,29.5,10
1007,43,3/18/2012,27-079,MIA,,ORL,W (+10),1,38:58:00,4,14,0.286,0,1,0,6,8,0.75,0,12,12,7,5,0,4,4,14,12.9,13
1008,44,3/20/2012,27-081,MIA,,PHO,W (+4),1,37:54:00,8,18,0.444,0,3,0,4,6,0.667,1,7,8,6,2,2,3,2,20,16.4,15
1009,45,3/23/2012,27-084,MIA,@,DET,W (+15),1,37:26:00,6,15,0.4,0,3,0,5,5,1,0,6,6,10,4,1,5,0,17,17.4,8
1010,46,3/25/2012,27-086,MIA,@,OKC,L (-16),1,39:36:00,8,18,0.444,0,3,0,1,1,1,0,3,3,7,2,0,4,2,17,10.6,-10
1011,47,3/26/2012,27-087,MIA,@,IND,L (-15),1,40:49:00,9,21,0.429,2,4,0.5,4,6,0.667,2,7,9,2,1,0,6,1,24,11.6,-14
1012,48,3/29/2012,27-090,MIA,,DAL,W (+21),1,36:13:00,8,16,0.5,0,2,0,3,3,1,3,6,9,5,2,0,3,3,19,16.2,9
1013,49,3/30/2012,27-091,MIA,@,TOR,W (+12),1,38:31:00,11,18,0.611,0,2,0,4,6,0.667,1,3,4,9,1,0,3,0,26,22.9,9
1014,50,4/1/2012,27-093,MIA,@,BOS,L (-19),1,34:37:00,11,20,0.55,0,0,,1,2,0.5,2,2,4,0,0,1,2,1,23,13.3,-30
1015,51,4/3/2012,27-095,MIA,,PHI,W (+6),1,38:04:00,15,25,0.6,1,2,0.5,10,13,0.769,3,3,6,4,3,1,4,0,41,33.8,12
1016,52,4/4/2012,27-096,MIA,,OKC,W (+5),1,41:30:00,10,20,0.5,3,7,0.429,11,13,0.846,1,6,7,10,4,1,2,2,34,34.6,20
1017,53,4/6/2012,27-098,MIA,,MEM,L (-15),1,37:38:00,8,19,0.421,2,6,0.333,3,4,0.75,2,4,6,6,2,0,3,0,21,16.3,-6
1018,54,4/8/2012,27-100,MIA,,DET,W (+23),1,32:15:00,12,22,0.545,1,3,0.333,1,5,0.2,3,1,4,2,0,1,1,1,26,16.9,10
1019,55,4/10/2012,27-102,MIA,,BOS,L (-8),1,40:51:00,11,23,0.478,1,3,0.333,13,14,0.929,5,2,7,7,1,1,2,3,36,31.4,-6
1020,56,4/12/2012,27-104,MIA,@,CHI,L (-10),1,47:18:00,11,24,0.458,3,6,0.5,5,7,0.714,1,5,6,5,1,1,4,1,30,19.8,-1
1021,57,4/13/2012,27-105,MIA,,CHA,W (+23),1,28:44:00,7,16,0.438,0,1,0,5,7,0.714,1,8,9,5,2,1,2,1,19,16.7,18
1022,58,4/15/2012,27-107,MIA,@,NYK,W (+8),1,40:15:00,11,24,0.458,1,6,0.167,6,9,0.667,2,8,10,3,2,0,6,4,29,15.7,18
1023,59,4/16/2012,27-108,MIA,@,NJN,W (+3),1,35:12:00,11,19,0.579,1,2,0.5,14,15,0.933,1,5,6,7,2,1,4,2,37,32.7,-4
1024,60,4/18/2012,27-110,MIA,,TOR,W (+24),1,30:12:00,12,15,0.8,1,1,1,3,4,0.75,0,5,5,4,2,0,5,0,28,23.2,20
1025,61,4/19/2012,27-111,MIA,,CHI,W (+11),1,35:20:00,8,18,0.444,1,2,0.5,10,12,0.833,0,11,11,6,0,1,1,3,27,22.8,11
1026,,4/21/2012,27-113,MIA,,WAS,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1027,62,4/22/2012,27-114,MIA,,HOU,W (+9),1,35:52:00,11,21,0.524,1,3,0.333,9,10,0.9,1,7,8,5,1,2,5,1,32,24.6,12
1028,,4/24/2012,27-116,MIA,@,BOS,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1029,,4/26/2012,27-118,MIA,@,WAS,L (-34),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1030,1,10/26/2010,25-300,MIA,@,BOS,L (-8),1,42:39:00,10,21,0.476,3,6,0.5,8,12,0.667,0,4,4,3,1,2,8,1,31,16,1
1031,2,10/27/2010,25-301,MIA,@,PHI,W (+10),1,37:33:00,5,12,0.417,0,2,0,6,6,1,0,6,6,7,2,1,9,1,16,9.6,6
1032,3,10/29/2010,25-303,MIA,,ORL,W (+26),1,30:02:00,6,13,0.462,2,3,0.667,1,2,0.5,0,6,6,7,0,0,3,4,15,10,13
1033,4,10/31/2010,25-305,MIA,@,NJN,W (+23),1,28:57:00,5,12,0.417,0,4,0,10,12,0.833,0,7,7,7,2,0,5,3,20,15.6,18
1034,5,11/2/2010,25-307,MIA,,MIN,W (+32),1,32:26:00,7,12,0.583,0,2,0,6,8,0.75,0,0,0,12,2,1,1,0,20,23.7,32
1035,6,11/5/2010,25-310,MIA,@,NOH,L (-3),1,41:12:00,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,0,20,20.6,-6
1036,7,11/6/2010,25-311,MIA,,NJN,W (+12),1,33:35:00,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,1,23,19.4,11
1037,8,11/9/2010,25-314,MIA,,UTA,L (-2),1,46:44:00,5,18,0.278,0,1,0,10,11,0.909,2,9,11,14,1,3,2,3,20,22.8,4
1038,9,11/11/2010,25-316,MIA,,BOS,L (-5),1,44:28:00,9,21,0.429,0,5,0,17,22,0.773,0,10,10,9,3,0,4,3,35,29,0
1039,10,11/13/2010,25-318,MIA,,TOR,W (+9),1,39:20:00,8,21,0.381,0,1,0,7,11,0.636,1,1,2,11,2,0,3,0,23,17.6,11
1040,11,11/17/2010,25-322,MIA,,PHO,W (+27),1,23:03,9,15,0.6,0,2,0,2,3,0.667,3,5,8,9,3,0,3,5,20,20.6,24
1041,12,11/19/2010,25-324,MIA,,CHA,W (+8),1,39:29:00,12,25,0.48,2,5,0.4,6,7,0.857,0,2,2,5,2,0,4,1,32,20.6,4
1042,13,11/20/2010,25-325,MIA,@,MEM,L (-2),1,42:06:00,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,2,29,21.7,-1
1043,14,11/22/2010,25-327,MIA,,IND,L (-16),1,41:34:00,6,14,0.429,2,8,0.25,11,15,0.733,0,5,5,6,1,0,6,3,25,15.5,-1
1044,15,11/24/2010,25-329,MIA,@,ORL,L (-9),1,40:44:00,9,18,0.5,1,3,0.333,6,8,0.75,1,5,6,4,1,0,3,3,25,17,-15
1045,16,11/26/2010,25-331,MIA,,PHI,W (+9),1,40:34:00,5,15,0.333,1,5,0.2,9,11,0.818,1,7,8,6,2,1,2,1,20,18,11
1046,17,11/27/2010,25-332,MIA,@,DAL,L (-11),1,36:04:00,5,19,0.263,0,4,0,13,15,0.867,2,6,8,4,1,0,5,3,23,11.7,-14
1047,18,11/29/2010,25-334,MIA,,WAS,W (+11),1,38:11:00,10,18,0.556,1,1,1,9,11,0.818,1,5,6,5,1,1,7,3,30,19.8,3
1048,19,12/1/2010,25-336,MIA,,DET,W (+25),1,31:14:00,8,15,0.533,1,1,1,1,2,0.5,2,4,6,3,1,0,4,0,18,12,17
1049,20,12/2/2010,25-337,MIA,@,CLE,W (+28),1,30:02:00,15,25,0.6,2,7,0.286,6,9,0.667,0,5,5,8,1,1,0,1,38,33.7,26
1050,21,12/4/2010,25-339,MIA,,ATL,W (+12),1,37:19:00,5,11,0.455,1,1,1,11,13,0.846,0,7,7,4,1,1,2,1,22,19.7,7
1051,22,12/6/2010,25-341,MIA,@,MIL,W (+10),1,38:41:00,7,16,0.438,1,3,0.333,2,4,0.5,0,6,6,6,1,1,1,5,17,12.5,17
1052,23,12/8/2010,25-343,MIA,@,UTA,W (+13),1,39:26:00,12,20,0.6,3,5,0.6,6,7,0.857,1,6,7,9,0,0,2,4,33,28.6,0
1053,24,12/10/2010,25-345,MIA,@,GSW,W (+22),1,30:43:00,10,18,0.556,3,4,0.75,2,3,0.667,0,7,7,9,1,1,4,1,25,21.7,22
1054,25,12/11/2010,25-346,MIA,@,SAC,W (+21),1,35:11:00,10,19,0.526,2,3,0.667,3,5,0.6,1,9,10,3,2,0,3,1,25,19,15
1055,26,12/13/2010,25-348,MIA,,NOH,W (+12),1,40:18:00,6,16,0.375,0,3,0,8,10,0.8,1,3,4,7,0,0,5,2,20,11.1,11
1056,27,12/15/2010,25-350,MIA,,CLE,W (+6),1,38:31:00,5,15,0.333,0,4,0,11,18,0.611,2,11,13,5,1,0,4,1,21,14.5,0
1057,28,12/17/2010,25-352,MIA,@,NYK,W (+22),1,38:13:00,14,23,0.609,3,6,0.5,1,3,0.333,1,10,11,10,1,0,5,1,32,27,31
1058,29,12/18/2010,25-353,MIA,@,WAS,W (+1),1,40:31:00,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,3,32,24.4,6
1059,30,12/20/2010,25-355,MIA,,DAL,L (-2),1,36:05:00,6,17,0.353,2,4,0.5,5,7,0.714,3,7,10,7,0,0,5,4,19,11.2,-20
1060,31,12/23/2010,25-358,MIA,@,PHO,W (+12),1,37:23:00,13,22,0.591,2,5,0.4,8,8,1,1,5,6,4,3,0,5,5,36,26.8,4
1061,32,12/25/2010,25-360,MIA,@,LAL,W (+16),1,38:11:00,8,14,0.571,5,6,0.833,6,6,1,1,10,11,10,4,0,1,2,27,33.3,15
1062,33,12/28/2010,25-363,MIA,,NYK,W (+8),1,40:25:00,8,17,0.471,1,2,0.5,1,3,0.333,0,10,10,8,0,0,3,3,18,12.9,17
1063,34,12/29/2010,25-364,MIA,@,HOU,W (+6),1,39:09:00,8,15,0.533,0,4,0,4,4,1,0,6,6,9,1,0,3,3,20,17.6,16
1064,35,1/1/2011,26-002,MIA,,GSW,W (+7),1,41:31:00,7,15,0.467,0,3,0,11,17,0.647,2,5,7,10,1,1,3,1,25,23.1,6
1065,36,1/3/2011,26-004,MIA,@,CHA,W (+14),1,36:34:00,15,26,0.577,2,4,0.5,6,6,1,0,9,9,5,1,0,3,3,38,28.8,20
1066,37,1/4/2011,26-005,MIA,,MIL,W (+12),1,36:35:00,8,15,0.533,0,0,,9,11,0.818,1,5,6,9,0,2,2,2,25,24,10
1067,38,1/7/2011,26-008,MIA,@,MIL,W (+6),1,45:16:00,8,23,0.348,1,4,0.25,9,11,0.818,1,9,10,5,6,1,5,2,26,20.1,7
1068,39,1/9/2011,26-010,MIA,@,POR,W (+7),1,46:11:00,17,26,0.654,3,5,0.6,7,10,0.7,3,10,13,6,2,0,6,4,44,35.1,5
1069,40,1/12/2011,26-013,MIA,@,LAC,L (-6),1,39:44:00,11,24,0.458,3,6,0.5,2,5,0.4,2,6,8,6,0,0,3,1,27,17.4,-3
1070,,1/13/2011,26-014,MIA,@,DEN,L (-28),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
1071,,1/15/2011,26-016,MIA,@,CHI,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
1072,41,1/18/2011,26-019,MIA,,ATL,L (-4),1,44:17:00,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,3,34,20.5,-5
1073,42,1/22/2011,26-023,MIA,,TOR,W (+17),1,38:00:00,14,29,0.483,1,3,0.333,9,14,0.643,1,10,11,6,2,1,1,2,38,30.1,13
1074,43,1/27/2011,26-028,MIA,@,NYK,L (-5),1,42:32:00,7,24,0.292,0,2,0,10,12,0.833,2,9,11,5,2,2,4,3,24,15,5
1075,44,1/28/2011,26-029,MIA,,DET,W (+1),1,44:19:00,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,1,39,34,4
1076,45,1/30/2011,26-031,MIA,@,OKC,W (+5),1,40:13:00,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,3,23,25.6,6
1077,46,1/31/2011,26-032,MIA,,CLE,W (+27),1,31:22:00,7,14,0.5,0,0,,10,11,0.909,1,3,4,8,0,2,2,1,24,22.8,20
1078,47,2/3/2011,26-035,MIA,@,ORL,W (+4),1,42:39:00,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,2,51,46.7,2
1079,48,2/4/2011,26-036,MIA,@,CHA,W (+12),1,36:39:00,7,13,0.538,0,3,0,5,6,0.833,1,7,8,9,0,0,3,3,19,17.2,10
1080,49,2/6/2011,26-038,MIA,,LAC,W (+18),1,35:37:00,6,15,0.4,0,2,0,0,2,0,1,5,6,4,4,0,6,2,12,5.3,15
1081,50,2/8/2011,26-040,MIA,,IND,W (+5),1,41:44:00,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,1,41,39.3,18
1082,51,2/11/2011,26-043,MIA,@,DET,W (+14),1,34:43:00,7,17,0.412,0,2,0,2,3,0.667,0,8,8,10,4,0,3,0,16,16.9,15
1083,52,2/13/2011,26-045,MIA,@,BOS,L (-3),1,43:28:00,10,21,0.476,0,2,0,2,3,0.667,1,6,7,7,1,0,4,2,22,14.5,1
1084,53,2/15/2011,26-047,MIA,@,IND,W (+7),1,40:55:00,11,20,0.55,1,3,0.333,4,6,0.667,1,5,6,5,2,2,5,1,27,20.3,9
1085,54,2/16/2011,26-048,MIA,@,TOR,W (+8),1,37:38:00,8,18,0.444,0,2,0,7,10,0.7,3,10,13,8,0,0,5,1,23,17.7,6
1086,55,2/22/2011,26-054,MIA,,SAC,W (+20),1,30:24:00,14,26,0.538,3,6,0.5,0,3,0,2,6,8,3,0,0,3,4,31,17.9,18
1087,56,2/24/2011,26-056,MIA,@,CHI,L (-4),1,41:26:00,12,21,0.571,0,4,0,5,6,0.833,0,10,10,5,2,1,2,1,29,25.5,3
1088,57,2/25/2011,26-057,MIA,,WAS,W (+8),1,42:46:00,5,11,0.455,0,1,0,15,19,0.789,1,8,9,7,1,3,1,2,25,27,-4
1089,58,2/27/2011,26-059,MIA,,NYK,L (-5),1,39:08:00,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,2,27,19.7,-3
1090,59,3/3/2011,26-063,MIA,,ORL,L (-3),1,39:56:00,11,16,0.688,0,2,0,7,7,1,2,4,6,4,0,2,2,2,29,26.2,0
1091,60,3/4/2011,26-064,MIA,@,SAS,L (-30),1,36:08:00,11,19,0.579,1,3,0.333,3,7,0.429,3,5,8,7,1,0,4,2,26,20.2,-16
1092,61,3/6/2011,26-066,MIA,,CHI,L (-1),1,41:50:00,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,2,26,24,-4
1093,62,3/8/2011,26-068,MIA,,POR,L (-9),1,45:32:00,14,20,0.7,2,4,0.5,1,4,0.25,1,10,11,8,1,0,4,3,31,26.5,-2
1094,63,3/10/2011,26-070,MIA,,LAL,W (+6),1,42:16:00,7,17,0.412,0,3,0,5,7,0.714,1,7,8,9,1,0,1,1,19,17.8,8
1095,64,3/12/2011,26-072,MIA,,MEM,W (+33),1,31:55:00,10,16,0.625,2,4,0.5,5,6,0.833,1,4,5,5,1,2,3,1,27,23.8,17
1096,65,3/14/2011,26-074,MIA,,SAS,W (+30),1,41:31:00,8,19,0.421,0,1,0,5,5,1,0,6,6,8,0,2,2,3,21,16.5,22
1097,66,3/16/2011,26-076,MIA,,OKC,L (-11),1,39:30:00,8,21,0.381,0,3,0,3,3,1,0,8,8,3,1,1,1,0,19,12.7,-6
1098,67,3/18/2011,26-078,MIA,@,ATL,W (+21),1,30:54:00,16,21,0.762,5,7,0.714,6,7,0.857,0,2,2,3,0,0,4,2,43,32.2,23
1099,68,3/19/2011,26-079,MIA,,DEN,W (+5),1,40:40:00,15,25,0.6,1,4,0.25,2,2,1,0,6,6,2,2,0,5,3,33,20.5,16
1100,69,3/23/2011,26-083,MIA,@,DET,W (+6),1,42:05:00,8,16,0.5,0,3,0,3,4,0.75,3,5,8,7,0,0,3,3,19,14.9,6
